1	1	Prólogo	Aqui se comiença la estoria de Espanna que fizo el muy noble Rey DoN Alfonsso. fijo del noble Rey Don FFernando. e de la Reyna donna Beatriz. PROLOGO.
2	2	1	
3	3	2	De cuemo los sabios partieron las tierras.
4	4	3	De como fue Europa poblada de los fijos de Japhet.
5	5	4	
6	6	5	De cuemo Hercules poblo a Caliz e de las cosas que y fizo.
7	7	6	De cuemo Julio Cesar poblo Seuilla por las cosas que y fallo que fiziera hercules.
8	8	7	De cuemo hercules lidio con el rey Gerion yl mato.
9	9	8	De las uillas que poblo Hercules en espanna.
10	10	9	De los fechos que fizo el rey espan en espanna e de cuemo poblo la ysla de Caliz.
11	11	10	De cuemo fue poblada la ysla de Caliz. e cercada. e fecha la puete e las calçadas.
12	12	11	De cuemo poblo pirus a Ossuna e a granada. e del Rey Rocas.
13	13	12	Cuemo rocas estaua en la cueua e delo quel acaecio con tarcus.
14	14	13	Cuemo se fue rocas con tarcus. e dela grand seca que fue en espanna
15 minus 1	I		Aqui se comiença la estoria del sennorio que los almuiuces ouieron en Espanna.
15	15	14	 De cuemo los almuiuces ganaron Espanna e fueron sennores della.
16	16	15	De cuemo los de flandes e dingla terra destruyeron a espanna.
17 minus 1	II		Aqui se comiença la estoria del sennorio que los de Affrica ouieron en Espanna. 
17	17	16	Cuemo entro el sennorio delos daffrica en espanna.
18	18	17	Dela muerte dell emperador Amilcar.
19	19	18	De los fechos que fizo Amilcar ante de su muert.
20	20	19	De cuemo ell emperador Annibal passo a espanna e destruxo Siguença.
21	21	20	Duna marauilla que acaecio en Siguença.
22	22	21	Delo que fizo Annibal en espanna.
23	23	22	De las batallas que ouo Annibal con los espannoles e con los romanos fasta que torno a Affrica.
24 minus 1	III		Aqui se comiença la estoria del sennorio que los Romanos ouieron en espanna.
24	24	No number	
25	25	23	De cuemo el poder de los Romanos entro en Espanna.
26	26	24	De los fechos que fizieron aquellos dos hermanos Scipiones.
